Date,Open,High,Low,Close,Volume,AdjClose
2004-10-06,59.6075,60.0824,59.4621,59.9952,63400,47.5135
2004-10-05,59.2198,60.189,59.0065,59.8498,100200,47.3984
2004-10-04,58.929,59.6075,58.8805,59.1713,105500,46.861
2004-10-01,57.3782,58.6189,57.1359,58.6189,106800,46.4236
2004-09-30,58.2505,58.299,57.1359,57.1844,40100,45.2875
2004-09-29,57.2813,58.2505,57.2813,58.0276,73700,45.9553
2004-09-28,56.7967,57.5721,56.6998,57.4752,52000,45.5178
2004-09-27,57.4752,57.4752,56.9421,57.1844,61300,45.2875
2004-09-24,57.6205,57.8144,57.2329,57.669,42600,45.6713
2004-09-23,58.0567,58.2021,57.3782,57.5721,48000,45.5945
2004-09-22,59.1713,59.3652,58.2505,58.3475,61600,46.2086
2004-09-21,58.7352,59.6075,58.7352,59.2198,63900,46.8994
2004-09-20,58.5898,59.0259,58.2505,58.8321,51100,46.5924
2004-09-17,58.3475,59.2198,58.2505,58.8515,55900,46.6078
2004-09-16,58.3475,58.5219,58.0082,58.2505,51800,46.1318
2004-09-15,58.8321,59.055,58.0082,58.299,64700,46.1702
2004-09-14,58.929,59.1713,58.5898,59.0938,109000,46.7997
2004-09-13,58.1536,59.1035,58.1536,59.0744,114500,46.7843
2004-09-10,57.2813,58.0082,57.2329,57.8629,47500,45.8248
2004-09-09,57.1359,57.1941,56.535,57.1844,31500,45.2875
2004-09-08,57.1844,57.7175,57.1359,57.1359,46900,45.2491
2004-09-07,57.2813,57.6593,57.0875,57.6593,48400,45.6636
2004-09-06,56.7967,57.3007,56.7967,57.2038,53600,45.3029
2004-09-03,56.0213,57.0099,55.6336,56.7482,54800,44.942
2004-09-02,55.4398,56.4284,55.149,56.3121,47000,44.5967
2004-09-01,55.0521,55.7305,55.0036,55.7015,36700,44.1131
2004-08-31,54.9552,55.3913,54.519,54.6159,48400,43.2534
2004-08-30,54.8582,55.2944,54.8582,55.2944,57200,43.7907
2004-08-27,54.3736,55.0036,54.0053,54.9552,51300,43.5221
2004-08-26,54.9552,54.9552,54.3736,54.5675,52300,43.215
2004-08-25,54.4706,54.5675,53.8406,54.5675,31700,43.215
2004-08-24,54.5675,54.6838,53.889,54.1798,40300,42.908
2004-08-23,53.889,54.519,53.6176,54.2767,56000,42.9847
2004-08-20,52.9683,53.4529,52.5321,53.4529,40000,42.3323
2004-08-19,53.3075,53.7436,52.8229,53.0652,51700,42.0253
2004-08-18,52.5321,53.0167,52.0475,52.9683,34000,41.9485
2004-08-17,52.5321,53.2299,52.2898,52.7259,44100,41.7566
2004-08-16,51.466,52.8229,51.4175,52.7744,93600,41.795
2004-08-13,51.6598,52.4836,51.4175,51.7083,62500,40.9507
2004-08-12,52.9198,53.3559,51.7567,51.8536,129700,41.0657
