Fecha		Ap	Pb   ENSO
07/02/1999        78.96              48.58802729      -1.3
08/02/1999        72.14               53.1654646      -1.3
09/02/1999         62.3              49.88986726      -1.3
10/02/1999        103.2              48.65101954      -1.3
11/02/1999        83.38              53.69040007      -1.3
12/02/1999       100.34              50.03684919      -1.3
13/02/1999        93.28               58.3938219      -1.3
14/02/1999        90.43              52.32556785      -1.3
15/02/1999        97.31              51.19170723      -1.3
16/02/1999        94.76              56.44106195      -1.3
17/02/1999       115.38              53.14446718      -1.3
18/02/1999       142.36              54.76126844      -1.3
19/02/1999       129.49              56.73502581      -1.3
20/02/1999       117.36              53.56441556      -1.3
21/02/1999       114.73              50.39380531      -1.3
22/02/1999       168.36              49.97385693      -1.3
23/02/1999       130.51              48.10508665      -1.3
24/02/1999       155.35              49.76388274      -1.3
25/02/1999       184.41              51.14971239      -1.3
26/02/1999       146.36              50.72976401      -1.3
27/02/1999       126.66              46.86623894      -1.3
28/02/1999       155.21               48.7140118      -1.3
01/03/1999       185.81              47.44896621        -1
02/03/1999       119.45              47.53217352        -1
03/03/1999       118.07              48.63467032        -1
04/03/1999       108.56              49.90358174        -1
05/03/1999        88.75              45.32717991        -1
06/03/1999        78.29              46.38807306        -1
07/03/1999        65.36              42.14450046        -1
08/03/1999        56.36              47.96901187        -1
09/03/1999        81.02              47.24094795        -1
10/03/1999        95.05              45.63920731        -1
11/03/1999         87.5              42.89336621        -1
12/03/1999        79.35              42.58133881        -1
13/03/1999        82.56              41.74926575        -1
14/03/1999       112.48              48.28103927        -1
15/03/1999       133.87                43.038979        -1
16/03/1999       110.62              44.32869224        -1
17/03/1999        86.77              45.53519817        -1
18/03/1999       111.94              43.41341187        -1
19/03/1999       102.61              41.52044566        -1
20/03/1999        114.5                   45.556        -1
21/03/1999       101.95              41.52044566        -1
22/03/1999       103.56              43.80864658        -1
23/03/1999        90.84              41.72846393        -1
24/03/1999         91.1              43.68383562        -1
25/03/1999        84.38               52.5454137        -1
26/03/1999        71.12              52.35819726        -1
27/03/1999        69.92              40.14752511        -1
28/03/1999       115.69              39.02422648        -1
29/03/1999       101.02              40.79238174        -1
30/03/1999        77.87              43.30940274        -1
31/03/1999        69.97              42.26931142        -1
01/04/1999        79.89              44.95332004      -0.9
02/04/1999        84.62              41.27944908      -0.9
03/04/1999         64.7              42.04311888      -0.9
04/04/1999       100.21              41.34136825      -0.9
05/04/1999        86.21              51.26907575      -0.9
06/04/1999       110.26              50.58796484      -0.9
07/04/1999       115.51              50.81500181      -0.9
08/04/1999       142.53              53.25048931      -0.9
09/04/1999       201.93              47.22368974      -0.9
10/04/1999        202.5              48.77166908      -0.9
11/04/1999       178.56              50.58796484      -0.9
12/04/1999       152.81              51.57867162      -0.9
13/04/1999       160.34              49.90685393      -0.9
14/04/1999       135.17              49.98941283      -0.9
15/04/1999       190.46              48.23503625      -0.9
16/04/1999       114.44              45.82018847      -0.9
17/04/1999        92.24              44.54052555      -0.9
