dia           fecha             y
MIÉRCOLES     13/03/02          4156
JUEVES        14/03/02          4473
VIERNES       15/03/02          5485
SÁBADO        16/03/02          3356
DOMINGO       17/03/02          1042
LUNES         18/03/02          5238
MARTES        19/03/02          5254
MIÉRCOLES     20/03/02          4759
JUEVES        21/03/02          5005
VIERNES       22/03/02          5801
SÁBADO        23/03/02          3226
DOMINGO       24/03/02          961
LUNES         25/03/02          1168
MARTES        26/03/02          6359
MIÉRCOLES     27/03/02          6821
JUEVES        28/03/02          1353
VIERNES       29/03/02          745
SÁBADO        30/03/02          1992
DOMINGO       31/03/02          1017
LUNES         01/04/02          6255
MARTES        02/04/02          8746
MIÉRCOLES     03/04/02          5616
JUEVES        04/04/02          5181
VIERNES       05/04/02          5663
SÁBADO        06/04/02          2738
DOMINGO       07/04/02          821
LUNES         08/04/02          5372
MARTES        09/04/02          5158
MIÉRCOLES     10/04/02          4719
JUEVES        11/04/02          4189
VIERNES       12/04/02          4453
SÁBADO        13/04/02          2802
DOMINGO       14/04/02          998
LUNES         15/04/02          6144
MARTES        16/04/02          5977
MIÉRCOLES     17/04/02          4963
JUEVES        18/04/02          4930
VIERNES       19/04/02          4876
SÁBADO        20/04/02          2847
DOMINGO       21/04/02          984
LUNES         22/04/02          5381
MARTES        23/04/02          4803
MIÉRCOLES     24/04/02          4641
JUEVES        25/04/02          4492
VIERNES       26/04/02          4434
SÁBADO        27/04/02          2565
DOMINGO       28/04/02          963
LUNES         29/04/02          5056
MARTES        30/04/02          6680
MIERCOLES     01/05/02          1581
JUEVES        02/05/02          5460
VIERNES       03/05/02          5482
SÁBADO        04/05/02          2907
DOMINGO       05/05/02          1033
LUNES         06/05/02          9546
MARTES        07/05/02          5426
MIÉRCOLES     08/05/02          4946
JUEVES        09/05/02          4702
VIERNES       10/05/02          5062
SÁBADO        11/05/02          2882
DOMINGO       12/05/02          738
LUNES         13/05/02          728
MARTES        14/05/02          6783
MIÉRCOLES     15/05/02          7424
JUEVES        16/05/02          6003
VIERNES       17/05/02          5789
SÁBADO        18/05/02          2914
DOMINGO       19/05/02          1012
LUNES         20/05/02          5771
MARTES        21/05/02          5347
MIÉRCOLES     22/05/02          3579
JUEVES        23/05/02          5518
VIERNES       24/05/02          5392
SÁBADO        25/05/02          2727
DOMINGO       26/05/02          671
LUNES         27/05/02          6503
MARTES        28/05/02          6369
MIÉRCOLES     29/05/02          5161
